provincia,sector,periodo,total
Asturias,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2020-07-01,6.4
Ávila,Servicios,2025-10-01,70.8
Ávila,Servicios,2025-07-01,70.0
Ávila,Servicios,2025-04-01,67.3
Ávila,Servicios,2025-01-01,67.1
Ávila,Servicios,2024-10-01,66.7
Ávila,Servicios,2024-07-01,69.9
Ávila,Servicios,2024-04-01,66.2
Ávila,Servicios,2024-01-01,65.5
Ávila,Servicios,2023-10-01,68.3
Ávila,Servicios,2023-07-01,68.5
Ávila,Servicios,2023-04-01,67.2
Ávila,Servicios,2023-01-01,69.7
Ávila,Servicios,2022-10-01,70.2
Ávila,Servicios,2022-07-01,67.7
Ávila,Servicios,2022-04-01,66.3
Ávila,Servicios,2022-01-01,66.3
Ávila,Servicios,2021-10-01,66.4
Ávila,Servicios,2021-07-01,64.0
Ávila,Servicios,2021-04-01,60.0
Ávila,Servicios,2021-01-01,60.9
Ávila,Servicios,2020-10-01,59.8
Ávila,Servicios,2020-07-01,61.7
Ávila,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-10-01,5.4
Ávila,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-07-01,3.9
Ávila,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-04-01,6.7
Ávila,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-01-01,3.4
Ávila,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-10-01,6.1
Ávila,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-07-01,4.8
Ávila,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-04-01,5.7
Ávila,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-01-01,5.6
Ávila,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-10-01,4.4
Ávila,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-07-01,5.1
Ávila,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-04-01,4.7
Ávila,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-01-01,4.6
Ávila,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-10-01,4.4
Ávila,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-07-01,6.8
Ávila,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-04-01,6.6
Ávila,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-01-01,6.0
Ávila,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-10-01,7.6
Ávila,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-07-01,7.3
Ávila,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-04-01,8.4
Ávila,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-01-01,6.1
Ávila,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2020-10-01,8.1
Ávila,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2020-07-01,7.0
Badajoz,Servicios,2025-10-01,67.0
Badajoz,Servicios,2025-07-01,69.4
Badajoz,Servicios,2025-04-01,69.2
Badajoz,Servicios,2025-01-01,67.6
Badajoz,Servicios,2024-10-01,69.7
Badajoz,Servicios,2024-07-01,67.9
Badajoz,Servicios,2024-04-01,67.9
Badajoz,Servicios,2024-01-01,67.9
Badajoz,Servicios,2023-10-01,68.7
Badajoz,Servicios,2023-07-01,66.1
Badajoz,Servicios,2023-04-01,65.8
Badajoz,Servicios,2023-01-01,66.8
Badajoz,Servicios,2022-10-01,66.3
Badajoz,Servicios,2022-07-01,65.7
Badajoz,Servicios,2022-04-01,65.9
Badajoz,Servicios,2022-01-01,64.2
Badajoz,Servicios,2021-10-01,63.4
Badajoz,Servicios,2021-07-01,64.6
Badajoz,Servicios,2021-04-01,64.3
Badajoz,Servicios,2021-01-01,64.4
Badajoz,Servicios,2020-10-01,63.5
Badajoz,Servicios,2020-07-01,64.5
Badajoz,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-10-01,5.9
Badajoz,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-07-01,6.1
Badajoz,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-04-01,5.7
Badajoz,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-01-01,7.1
Badajoz,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-10-01,5.4
Badajoz,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-07-01,6.5
Badajoz,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-04-01,7.8
Badajoz,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-01-01,7.8
Badajoz,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-10-01,8.0
Badajoz,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-07-01,9.5
Badajoz,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-04-01,9.9
Badajoz,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-01-01,8.7
Badajoz,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-10-01,8.8
Badajoz,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-07-01,8.3
Badajoz,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-04-01,8.7
Badajoz,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-01-01,9.5
Badajoz,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-10-01,10.1
Badajoz,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-07-01,8.3
Badajoz,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-04-01,8.5
Badajoz,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-01-01,8.7
