Provincias;Sector económico;Periodo;Total
03 Alicante/Alacant;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T4;6,2
03 Alicante/Alacant;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T3;6,7
03 Alicante/Alacant;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T2;6,6
03 Alicante/Alacant;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T1;6,1
03 Alicante/Alacant;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T4;6,7
03 Alicante/Alacant;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T3;5,6
03 Alicante/Alacant;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T2;6,0
03 Alicante/Alacant;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T1;7,5
03 Alicante/Alacant;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T4;8,0
03 Alicante/Alacant;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T3;7,6
03 Alicante/Alacant;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T2;8,8
03 Alicante/Alacant;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T1;8,5
03 Alicante/Alacant;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T4;10,6
03 Alicante/Alacant;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T3;11,1
03 Alicante/Alacant;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T2;13,2
03 Alicante/Alacant;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T1;10,5
03 Alicante/Alacant;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2020T4;9,8
03 Alicante/Alacant;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2020T3;8,9
04 Almería;Servicios;2025T4;64,7
04 Almería;Servicios;2025T3;61,5
04 Almería;Servicios;2025T2;61,3
04 Almería;Servicios;2025T1;64,0
04 Almería;Servicios;2024T4;66,5
04 Almería;Servicios;2024T3;63,6
04 Almería;Servicios;2024T2;61,6
04 Almería;Servicios;2024T1;62,4
04 Almería;Servicios;2023T4;60,6
04 Almería;Servicios;2023T3;62,7
04 Almería;Servicios;2023T2;59,5
04 Almería;Servicios;2023T1;59,1
04 Almería;Servicios;2022T4;56,5
04 Almería;Servicios;2022T3;57,8
04 Almería;Servicios;2022T2;60,7
04 Almería;Servicios;2022T1;57,8
04 Almería;Servicios;2021T4;57,1
04 Almería;Servicios;2021T3;55,2
04 Almería;Servicios;2021T2;55,7
04 Almería;Servicios;2021T1;51,7
04 Almería;Servicios;2020T4;54,2
04 Almería;Servicios;2020T3;56,8
04 Almería;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T4;5,0
04 Almería;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T3;7,1
04 Almería;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T2;6,0
04 Almería;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T1;6,8
04 Almería;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T4;5,3
04 Almería;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T3;6,0
04 Almería;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T2;5,7
04 Almería;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T1;6,6
04 Almería;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T4;7,0
04 Almería;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T3;6,6
04 Almería;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T2;6,2
04 Almería;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T1;6,9
04 Almería;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T4;10,2
04 Almería;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T3;9,0
04 Almería;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T2;6,8
04 Almería;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T1;7,2
04 Almería;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T4;7,3
04 Almería;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T3;9,6
04 Almería;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T2;11,6
04 Almería;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T1;9,8
04 Almería;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2020T4;11,5
04 Almería;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2020T3;9,4
01 Araba/Álava;Servicios;2025T4;63,7
01 Araba/Álava;Servicios;2025T3;66,7
01 Araba/Álava;Servicios;2025T2;66,1
01 Araba/Álava;Servicios;2025T1;67,6
01 Araba/Álava;Servicios;2024T4;62,5
01 Araba/Álava;Servicios;2024T3;62,1
01 Araba/Álava;Servicios;2024T2;63,2
01 Araba/Álava;Servicios;2024T1;63,2
01 Araba/Álava;Servicios;2023T4;60,7
01 Araba/Álava;Servicios;2023T3;62,0
01 Araba/Álava;Servicios;2023T2;62,8
01 Araba/Álava;Servicios;2023T1;62,4
01 Araba/Álava;Servicios;2022T4;61,8
01 Araba/Álava;Servicios;2022T3;66,8
01 Araba/Álava;Servicios;2022T2;65,4
01 Araba/Álava;Servicios;2022T1;64,8
01 Araba/Álava;Servicios;2021T4;63,2
01 Araba/Álava;Servicios;2021T3;62,3
01 Araba/Álava;Servicios;2021T2;65,0
01 Araba/Álava;Servicios;2021T1;63,1
