Operación	Total Nacional	Comunidades y Ciudades Autónomas	Residencia: Nivel 1	Residencia: Nivel 2	Viajeros y pernoctaciones	Periodo	Total
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2023M06	1.959.976
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2023M05	1.883.648
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2023M04	1.852.962
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2023M03	1.418.975
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2023M02	1.123.345
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2023M01	954.691
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2022M12	1.007.743
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2022M11	1.084.818
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2022M10	1.685.566
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2022M09	1.980.050
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2022M08	2.172.087
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2022M07	2.076.997
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2022M06	1.947.800
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2022M05	1.833.026
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2022M04	1.670.249
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2022M03	1.147.658
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2022M02	989.820
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2022M01	694.614
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2021M12	846.378
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2021M11	966.910
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2021M10	1.430.459
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2021M09	1.579.073
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2021M08	1.934.752
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2021M07	1.685.423
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2021M06	1.197.179
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2021M05	670.345
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2021M04	304.931
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2021M03	279.657
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2021M02	189.027
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2021M01	198.498
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2020M12	219.845
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2020M11	171.612
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2020M10	494.570
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2020M09	735.322
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2020M08	1.210.492
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2020M07	919.612
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2020M06	212.684
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2020M05	14.468
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2020M04	0
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2020M03	570.044
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2026M01	186.324
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2025M12	217.273
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2025M11	200.792
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2025M10	269.713
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2025M09	290.172
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2025M08	368.007
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2025M07	299.878
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2025M06	266.408
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2025M05	263.532
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2025M04	250.730
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2025M03	223.681
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2025M02	217.078
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2025M01	181.284
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2024M12	206.449
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2024M11	207.704
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2024M10	270.671
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2024M09	274.902
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2024M08	360.395
